FTSE
Trading
Bonds
Futures
$AAL
$ANTO
$BLT
$BNZL
$CRDA
$ENRC
$FRES
$IMI
$JMAT
$KAZ
$RRS
$REX
$RIO
$SMIN
$VED
$WPP
$XTA
$evr
$POLY
$AMEC
$BA
$CRH
$MGGT
$PFC
$RR
$WEIR
$WOS
$ABF
$BATS
$BRBY
$DGE
$GKN
$IMT
$MKS
$MRW
$NXT
$RB
$SAB
$SBRY
$TATE
$TSCO
$ULVR
$BG
$BP
$IPR
$NG
$RDSA
$TLW
$GLEN
$ADN
$ADM
$ASHM
$AV
$BARC
$HL
$HSBA
$IAP
$LGEN
$LLOY
$EMG
$OML
$PRU
$RSL
$RBS
$SA
$SDR
$STAN
$SL
$AZN
$GSK
$SHP
$SN
$AGK
$BLND
$BSY
$BT-A
$CSCG
$CCL
$CPG
$EXPN
$GFS
$HMSO
$IHG
$ITRK
$ITV
$KGF
$LAND
$PSON
$REL
$SRP
$VOD
$WTB
$IAG
$ARM
$CPI
$SGE
$CNA
$SVT
$SSE
$UU
Anglo American
Antofagasta
BHP Billiton
Bunzl
Croda International
Eurasian Natural Resources Corporation
Fresnillo
Johnson Matthey
Kazakhmys
Randgold Resources
REXAM
Rio Tinto
Smiths Group
Vedanta Resources
Xstrata
EVRAZ
Polymetal International
BAE SYSTEMS
Meggitt
Petrofac
Rolls-Royce Holdings
Weir Group
Wolseley
Associated British Foods
British American Tobacco
Burberry Group
Diageo
Imperial Tobacco Group
Marks & Spencer Group
Morrison (Wm) Supermarkets
Reckitt Benckiser Group
SABMiller
Sainsbury (J)
Tate & Lyle
Tesco
Unilever
BG Group
BP
International Power
National Grid
Royal Dutch Shell
Tullow Oil
Glencore International
Aberdeen Asset Management
Admiral Group
Ashmore Group
Aviva
Barclays
Hargreaves Lansdown
HSBC Holdings
ICAP
Legal & General Group
Lloyds Banking Group
Man Group
Old Mutual
Prudential
Resolution
Royal Bank of Scotland Group (The)
RSA Insurance Group
Schroders
Standard Chartered
Standard Life
AstraZeneca
GlaxoSmithKline
Shire
Smith & Nephew
Aggreko
British Land Co
British Sky Broadcasting Group
BT Group
Capital Shopping Centres Group
Carnival
Compass Group
Experian
Hammerson
InterContinental Hotels Group
Intertek Group
Kingfisher
Land Securities Group
Pearson
Reed Elsevier
Serco Group
Vodafone Group
Whitbread
International Consolidated Airlines Group SA
ARM Holdings
Capita
Sage Group (The)
Centrica
Severn Trent
United Utilities Group
