Date, Close, High, Low, Open, Volume
07 Jun 2012 - 16:25:00,9.746,9.749,9.709,9.713,85483
07 Jun 2012 - 16:30:00,9.758,9.777,9.741,9.748,62267
07 Jun 2012 - 16:35:00,9.731,9.764,9.729,9.755,108178
07 Jun 2012 - 16:40:00,9.719,9.745,9.716,9.729,148933
07 Jun 2012 - 16:45:00,9.706,9.732,9.701,9.722,152187
07 Jun 2012 - 16:50:00,9.697,9.721,9.672,9.71,218801
07 Jun 2012 - 16:55:00,9.695,9.697,9.679,9.689,84761
07 Jun 2012 - 17:00:00,9.707,9.707,9.672,9.697,143312
07 Jun 2012 - 17:05:00,9.709,9.718,9.689,9.708,159572
07 Jun 2012 - 17:10:00,9.697,9.717,9.691,9.711,136353
07 Jun 2012 - 17:15:00,9.659,9.696,9.643,9.696,198439
07 Jun 2012 - 17:20:00,9.66,9.666,9.641,9.658,272469
07 Jun 2012 - 17:25:00,9.677,9.686,9.666,9.666,169712
07 Jun 2012 - 17:30:00,9.657,9.687,9.657,9.684,132401
07 Jun 2012 - 17:40:00,9.683,9.683,9.683,9.683,1537647
