Date, Close, High, Low, Open, Volume
07 Jun 2012 - 16:25:00,1.271,1.272,1.264,1.272,658868
07 Jun 2012 - 16:30:00,1.276,1.276,1.27,1.27,233186
07 Jun 2012 - 16:35:00,1.277,1.279,1.275,1.276,299595
07 Jun 2012 - 16:40:00,1.275,1.278,1.273,1.277,168974
07 Jun 2012 - 16:45:00,1.275,1.276,1.273,1.274,89370
07 Jun 2012 - 16:50:00,1.271,1.275,1.271,1.275,278677
07 Jun 2012 - 16:55:00,1.272,1.273,1.27,1.271,205331
07 Jun 2012 - 17:00:00,1.273,1.273,1.268,1.272,182894
07 Jun 2012 - 17:05:00,1.274,1.274,1.271,1.273,145813
07 Jun 2012 - 17:10:00,1.27,1.275,1.27,1.274,345718
07 Jun 2012 - 17:15:00,1.269,1.272,1.269,1.27,134185
07 Jun 2012 - 17:20:00,1.264,1.27,1.264,1.27,469407
07 Jun 2012 - 17:25:00,1.265,1.266,1.263,1.264,552630
07 Jun 2012 - 17:30:00,1.267,1.269,1.265,1.267,228532
07 Jun 2012 - 17:40:00,1.267,1.267,1.267,1.267,1266455
