Date, Close, High, Low, Open, Volume
07 Jun 2012 - 16:25:00,24.58,24.58,24.515,24.515,9201
07 Jun 2012 - 16:30:00,24.635,24.635,24.57,24.58,6060
07 Jun 2012 - 16:35:00,24.61,24.645,24.59,24.64,6627
07 Jun 2012 - 16:40:00,24.57,24.59,24.57,24.59,2252
07 Jun 2012 - 16:45:00,24.525,24.555,24.525,24.555,10101
07 Jun 2012 - 16:50:00,24.52,24.535,24.505,24.52,14059
07 Jun 2012 - 16:55:00,24.54,24.555,24.515,24.525,8546
07 Jun 2012 - 17:00:00,24.605,24.61,24.525,24.54,12167
07 Jun 2012 - 17:05:00,24.72,24.73,24.6,24.62,34817
07 Jun 2012 - 17:10:00,24.7,24.73,24.69,24.73,15704
07 Jun 2012 - 17:15:00,24.62,24.7,24.62,24.7,12757
07 Jun 2012 - 17:20:00,24.635,24.65,24.605,24.615,20512
07 Jun 2012 - 17:25:00,24.675,24.68,24.645,24.645,14647
07 Jun 2012 - 17:30:00,24.68,24.72,24.625,24.67,24863
07 Jun 2012 - 17:40:00,24.625,24.625,24.625,24.625,123910
