Date, Close, High, Low, Open, Volume
07 Jun 2012 - 16:25:00,50.77,50.8,50.7,50.78,29758
07 Jun 2012 - 16:30:00,50.8,50.83,50.72,50.76,27067
07 Jun 2012 - 16:35:00,50.85,50.85,50.78,50.8,27664
07 Jun 2012 - 16:40:00,50.8,50.94,50.8,50.86,26312
07 Jun 2012 - 16:45:00,50.76,50.83,50.72,50.79,26641
07 Jun 2012 - 16:50:00,50.82,50.83,50.74,50.78,13694
07 Jun 2012 - 16:55:00,50.85,50.88,50.77,50.82,16710
07 Jun 2012 - 17:00:00,50.87,50.9,50.82,50.86,11850
07 Jun 2012 - 17:05:00,50.96,50.96,50.87,50.89,17913
07 Jun 2012 - 17:10:00,50.95,50.97,50.92,50.94,12377
07 Jun 2012 - 17:15:00,50.82,50.93,50.8,50.93,26577
07 Jun 2012 - 17:20:00,50.71,50.81,50.67,50.81,35250
07 Jun 2012 - 17:25:00,50.72,50.74,50.7,50.74,30645
07 Jun 2012 - 17:30:00,50.65,50.79,50.65,50.72,40550
07 Jun 2012 - 17:40:00,50.77,50.77,50.77,50.77,395102
