Date, Close, High, Low, Open, Volume
07 Jun 2012 - 16:25:00,20.225,20.25,20.205,20.24,36997
07 Jun 2012 - 16:30:00,20.275,20.285,20.225,20.235,4272
07 Jun 2012 - 16:35:00,20.255,20.295,20.255,20.285,7115
07 Jun 2012 - 16:40:00,20.235,20.28,20.235,20.26,6099
07 Jun 2012 - 16:45:00,20.25,20.255,20.22,20.235,6510
07 Jun 2012 - 16:50:00,20.2,20.235,20.185,20.235,11900
07 Jun 2012 - 16:55:00,20.18,20.2,20.17,20.2,7890
07 Jun 2012 - 17:00:00,20.185,20.185,20.13,20.18,8205
07 Jun 2012 - 17:05:00,20.195,20.215,20.175,20.19,8161
07 Jun 2012 - 17:10:00,20.19,20.215,20.185,20.205,16883
07 Jun 2012 - 17:15:00,20.14,20.19,20.135,20.185,20692
07 Jun 2012 - 17:20:00,20.12,20.145,20.105,20.145,8801
07 Jun 2012 - 17:25:00,20.12,20.125,20.11,20.125,4241
07 Jun 2012 - 17:30:00,20.11,20.135,20.085,20.12,16059
07 Jun 2012 - 17:40:00,20.065,20.065,20.065,20.065,330350
