Date, Close, High, Low, Open, Volume
07 Jun 2012 - 16:25:00,13.93,13.945,13.915,13.915,46125
07 Jun 2012 - 16:30:00,13.965,13.97,13.925,13.93,27991
07 Jun 2012 - 16:35:00,13.965,13.98,13.96,13.96,75109
07 Jun 2012 - 16:40:00,13.975,13.99,13.96,13.96,89615
07 Jun 2012 - 16:45:00,13.965,13.985,13.95,13.97,66722
07 Jun 2012 - 16:50:00,13.95,13.97,13.935,13.95,32804
07 Jun 2012 - 16:55:00,13.955,13.96,13.93,13.94,27479
07 Jun 2012 - 17:00:00,13.96,13.97,13.93,13.95,31059
07 Jun 2012 - 17:05:00,13.955,13.975,13.955,13.97,20537
07 Jun 2012 - 17:10:00,13.95,13.985,13.95,13.955,85135
07 Jun 2012 - 17:15:00,13.915,13.95,13.905,13.95,51126
07 Jun 2012 - 17:20:00,13.885,13.915,13.885,13.91,58087
07 Jun 2012 - 17:25:00,13.875,13.9,13.875,13.895,48681
07 Jun 2012 - 17:30:00,13.86,13.885,13.86,13.885,106449
07 Jun 2012 - 17:40:00,13.91,13.91,13.91,13.91,758990
