Date, Close, High, Low, Open, Volume
07 Jun 2012 - 15:50:00,3096.47,3098.7,3095.84,3096.68,0
07 Jun 2012 - 15:55:00,3097.06,3098.2,3095.81,3097.16,0
07 Jun 2012 - 16:00:00,3096.29,3098.88,3094.51,3097.89,0
07 Jun 2012 - 16:05:00,3085.65,3096.69,3085.58,3096.69,0
07 Jun 2012 - 16:10:00,3083.74,3089.51,3083.27,3085.79,0
07 Jun 2012 - 16:15:00,3084.9,3085.48,3081.86,3083.66,0
07 Jun 2012 - 16:20:00,3076.65,3084.67,3076.65,3084.67,0
07 Jun 2012 - 16:25:00,3081.12,3081.12,3076.02,3076.51,0
07 Jun 2012 - 16:30:00,3086.87,3087.45,3080.7,3081.5,0
07 Jun 2012 - 16:35:00,3083.12,3087.42,3081.73,3086.36,0
07 Jun 2012 - 16:40:00,3078.77,3083.72,3078.77,3081.81,0
07 Jun 2012 - 16:45:00,3076.97,3080.55,3075.76,3078.28,0
07 Jun 2012 - 16:50:00,3074.17,3079.0,3071.61,3077.56,0
07 Jun 2012 - 16:55:00,3074.34,3074.34,3070.95,3072.99,0
07 Jun 2012 - 17:00:00,3077.46,3077.46,3069.85,3073.1,0
07 Jun 2012 - 17:05:00,3079.31,3080.24,3074.78,3075.83,0
07 Jun 2012 - 17:10:00,3077.78,3080.98,3077.78,3079.29,0
07 Jun 2012 - 17:15:00,3070.58,3077.49,3070.06,3077.49,0
07 Jun 2012 - 17:20:00,3067.2,3070.64,3067.09,3069.57,0
07 Jun 2012 - 17:25:00,3070.62,3070.74,3068.09,3068.09,0
07 Jun 2012 - 17:30:00,3068.16,3071.05,3068.16,3070.94,0
07 Jun 2012 - 17:35:00,3066.75,3066.75,3066.75,3066.75,0
07 Jun 2012 - 17:40:00,3071.16,3071.16,3071.16,3071.16,0
07 Jun 2012 - 17:45:00,3071.16,3071.16,3071.16,3071.16,0
07 Jun 2012 - 17:50:00,3071.16,3071.16,3071.16,3071.16,0
