ATVI
ADBE
ALTR
AMZN
APCC
AMGN
APOL
AAPL
AMAT
ATYT
ADSK
BEAS
BBBY
BIIB
BMET
BRCM
CDNS
CDWC
CELG
CHRW
CHKP
CKFR
CHIR
CTAS
CSCO
CTXS
CTSH
CMCSA
CMVT
COST
DELL
XRAY
DISCA
EBAY
DISH
ERTS
EXPE
EXPD
ESRX
FAST
FISV
FLEX
GRMN
GENZ
GILD
GOOG
IACI
INTC
INTU
JDSU
JNPR
KLAC
LRCX
LAMR
LBTYA
LNCR
LLTC
ERICY
MRVL
MXIM
MCIP
MEDI
MERQ
MCHP
MSFT
MNST
NTAP
NIHD
NVLS
NTLI
NVDA
ORCL
PCAR
PDCO
PTEN
PAYX
PETM
PIXR
QCOM
RHAT
RIMM
ROST
SNDK
SHLD
SEPR
SEPR
SIRI
SPLS
SBUX
SUNW
SYMC
TLAB
TEVA
URBN
VRSN
WFMI
WYNN
XLNX
XMSR
YHOO
