APD
AKAM
AKS
ATI
AGN
MO
AMZN
AEE
AXP
AIG
SNDK
SHLD
SEPR
SEPR
TLAB
TEVA
URBN
VRSN
WYNN
ABC
AMGN
APC
FPL
BEN
GIS
GPC
GNW
ATVI
ADBE
ALTR
AAPL
AMAT
ADSK
BEAS
CKFR
CHIR
CTAS
CSCO
CTXS
CTSH
GENZ
GILD
GS
GR
GT
GOOG
HAL
HOG
HAR
HRS
HIG
ORCL
OI
PCAR
PTV
PLL
PH
PDCO
PBCT
POM
PBG
PKI
PCG
SWK
SPLS
SBUX
EXPD
ESRX
GOOG
ACE
CTW
HPF
JBT
NFX
LRCX
LAMR
LBTYA
LNCR
LLTC
ERICY
MRVL
MXIM
MEDI
HOT
STT
SRCL
SYK
SUN
SYY
TROW
TGT
TER
TSO
TXN
TRV
TMO
TIF
TWX
TIE
