aapl
abt
ace
agn
aiv
akam
aks
alti
aon
apd
ati
dis
ea
ebay
fosl
ge
goog
gs
hog
intc
jpm
ma
mcd
mchp
mo
msft
ndaq
nvda
nyx
sbux
syy
tso
yhoo
su.pa
jxr.pa
^fchi
^ftse
^gspc
