"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Viper","http://www.rcdb.com/./39.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","1995","Sit Down","137","863","1","57","38","33.768915","-84.549977","USA"
"Viper","http://www.rcdb.com/./50.htm","Six Flags AstroWorld","http://www.rcdb.com/./4537.htm","1989","Sit Down","80","1942","1","47.8","0","29.675574","-95.407033","USA"
"Viper","http://www.rcdb.com/./782.htm","Lightwater Valley","http://www.rcdb.com/./4797.htm","1996","Sit Down","0","0","0","0","0","54.178191","-1.567033","UK"
"White Lightnin'","http://www.rcdb.com/./667.htm","Carowinds","http://www.rcdb.com/./4542.htm","1977","Sit Down","137","863","1","57","30","35.102799","-80.941408",""
"Whizzer","http://www.rcdb.com/./113.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","1976","Sit Down","70","3100","0","42","120","42.367594","-87.934012","USA"
"Whizzer","http://www.rcdb.com/./726.htm","California's Great America","http://www.rcdb.com/./4541.htm","1976","Sit Down","70","3100","0","42","120","37.395422","-121.972210","USA"
"Wiener Looping","http://www.rcdb.com/./680.htm","Boardwalk and Baseball","http://www.rcdb.com/./4713.htm","1984 - 1985","Sit Down","131","0","1","50","0","28.228681","-81.643191",""
"Wiener Looping","http://www.rcdb.com/./1110.htm","Wiener Prater","http://www.rcdb.com/./4926.htm","1982","Sit Down","131","0","1","50","0","48.215960","16.399927","Austria"
"Wild Cat","http://www.rcdb.com/./403.htm","Keansburg Amusement Park","http://www.rcdb.com/./4672.htm","-","Sit Down","0","0","0","0","0","40.455577","-74.137062","USA"
"Wild Cat","http://www.rcdb.com/./1505.htm","Parque de la Ciudad","http://www.rcdb.com/./5074.htm","1982","Sit Down","44","1509","0","0","0","-34.671392","-58.451133","Argentina"
"Wild Cat","http://www.rcdb.com/./2296.htm","Playland Park","http://www.rcdb.com/./4584.htm","1984","Sit Down","44","1509","0","0","0","40.966565","-73.673565","USA"
"Wildcat","http://www.rcdb.com/./20.htm","Cedar Point","http://www.rcdb.com/./4529.htm","1979","Sit Down","50","1837","0","40","85","41.481972","-82.684565","USA"
"Wildcat","http://www.rcdb.com/./114.htm","Cedar Point","http://www.rcdb.com/./4529.htm","1970","Sit Down","0","0","0","0","0","41.481972","-82.684565","USA"
"Wildcat","http://www.rcdb.com/./116.htm","Jolly Roger Amusement Park","http://www.rcdb.com/./4749.htm","1999","Sit Down","0","0","0","0","0","38.359343","-75.076663","USA"
"Wildcat","http://www.rcdb.com/./260.htm","Puyallup Fair","http://www.rcdb.com/./4595.htm","1985","Sit Down","0","0","0","0","0","47.181784","-122.296339","USA"
"Wildcat","http://www.rcdb.com/./342.htm","Bell's Amusement Park","http://www.rcdb.com/./4623.htm","1974","Sit Down","44","1509","0","0","0","36.134764","-95.934108","USA"
"Wildcat","http://www.rcdb.com/./414.htm","Martin's Fantasy Island","http://www.rcdb.com/./4732.htm","1972","Sit Down","44","1509","0","0","0","43.027589","-78.972559","USA"
"WildCat","http://www.rcdb.com/./705.htm","Six Flags New England","http://www.rcdb.com/./4565.htm","1968","Sit Down","0","0","0","0","0","42.038401","-72.613535","USA"
"Wildcat","http://www.rcdb.com/./718.htm","Williams Grove Amusement Park","http://www.rcdb.com/./4681.htm","2001","Sit Down","44","1509","0","0","0","40.151699","-77.033337","USA"
"Wildcat","http://www.rcdb.com/./1894.htm","Steel Pier","http://www.rcdb.com/./4739.htm","1994","Sit Down","44","1509","0","0","0","39.357544","-74.419380","USA"
"Wildcat","http://www.rcdb.com/./2930.htm","Magic Landing","http://www.rcdb.com/./5673.htm","1984 or earlier","Sit Down","50","1837","0","40","85","0","0",""
"Wildcat","http://www.rcdb.com/./3554.htm","Adventure Park USA","http://www.rcdb.com/./5968.htm","2007","Sit Down","44","1509","0","0","0","39.379791","-77.277875","USA"
"Wildcat","http://www.rcdb.com/./4259.htm","Jolly Roger Amusement Park","http://www.rcdb.com/./4749.htm","2008","Sit Down","44","1509","0","0","0","38.359343","-75.076663","USA"
"Wild Rider","http://www.rcdb.com/./1655.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","1978","Sit Down","0","0","0","0","0","40.137005","-74.440956","USA"
"Zambezi Zinger","http://www.rcdb.com/./23.htm","Worlds of Fun","http://www.rcdb.com/./4533.htm","1973","Sit Down","56","2583","0","41.2","151","39.174199","-94.485898","USA"
"Zonga","http://www.rcdb.com/./2264.htm","Six Flags Discovery Kingdom","http://www.rcdb.com/./4711.htm","2003","Sit Down","115","3675","4","54","0","38.138523","-122.234273","USA"
"Zyklon","http://www.rcdb.com/./4504.htm","Gardaland","http://www.rcdb.com/./4866.htm","1982","Sit Down","0","0","0","0","0","45.456631","10.711766","Italy"
"<i>unknown</i>","http://www.rcdb.com/./2593.htm","Beoland","http://www.rcdb.com/./5524.htm","2003","Sit Down","0","0","0","0","0","56.308316","43.995566","Russia"
"<i>unknown</i>","http://www.rcdb.com/./3270.htm","Playcenter São Paulo","http://www.rcdb.com/./4946.htm","1973","Sit Down","0","0","0","0","0","-23.517881","-46.663958","Brazil"
"<i>unknown</i>","http://www.rcdb.com/./3514.htm","Joyland Amusement Park","http://www.rcdb.com/./4606.htm","2006","Sit Down","137","849","1","60","33","33.591467","-101.831954","USA"
"<i>unknown</i>","http://www.rcdb.com/./10373.htm","Beto Carrero World","http://www.rcdb.com/./4948.htm","-","Sit Down","44","1919","0","0","0","-26.802481","-48.614367","Brazil"
"<i>unknown</i>","http://www.rcdb.com/./10374.htm","Mirage Park","http://www.rcdb.com/./10372.htm","2012","Sit Down","44","1919","0","0","0","0","0","Brazil"
