"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Boomerang","http://www.rcdb.com/./1321.htm","Parque de la Costa","http://www.rcdb.com/./5010.htm","1998","Sit Down","116","935","3","47","108","-34.417350","-58.576350","Argentina"
"Boomerang","http://www.rcdb.com/./1350.htm","Jerudong Park","http://www.rcdb.com/./5023.htm","1996","Sit Down","116","935","3","47","108","0","0","Brunei"
"Boomerang","http://www.rcdb.com/./1355.htm","Geroland","http://www.rcdb.com/./5025.htm","1997","Sit Down","116","935","3","47","108","30.173949","31.477354","Egypt"
"Boomerang","http://www.rcdb.com/./1407.htm","Woobang Towerland","http://www.rcdb.com/./5041.htm","1995","Sit Down","116","935","3","47","108","35.851648","128.566110","South Korea"
"Boomerang","http://www.rcdb.com/./1818.htm","Zygo Park","http://www.rcdb.com/./5223.htm","1987","Sit Down","116","935","3","47","108","0","0","France"
"Boomerang","http://www.rcdb.com/./1934.htm","Qingdao International Beer City","http://www.rcdb.com/./5263.htm","1998","Sit Down","116","935","3","47","108","36.097314","120.459080","China"
"Boomerang","http://www.rcdb.com/./2200.htm","Nanhu Amusement Park","http://www.rcdb.com/./5211.htm","1985","Sit Down","116","935","3","47","108","0","0","China"
"Boomerang","http://www.rcdb.com/./3714.htm","Siam Park City","http://www.rcdb.com/./5389.htm","2007","Sit Down","116","935","3","47","108","13.807451","100.696092","Thailand"
"Boomerang","http://www.rcdb.com/./3826.htm","Rafaela Padilla","http://www.rcdb.com/./5502.htm","1984","Sit Down","116","935","3","47","108","0","0","Mexico"
"Boomerang","http://www.rcdb.com/./9799.htm","Parc Touristique des Combes","http://www.rcdb.com/./5449.htm","2011","Sit Down","0","0","0","0","0","46.812224","4.411413",""
"Boomerang Coast to Coaster","http://www.rcdb.com/./357.htm","Six Flags Discovery Kingdom","http://www.rcdb.com/./4711.htm","1998","Sit Down","116","935","3","47","108","38.138523","-122.234273","USA"
"Boomerang Coast to Coaster","http://www.rcdb.com/./431.htm","Great Escape & Splashwater Kingdom","http://www.rcdb.com/./4596.htm","1997","Sit Down","116","935","3","47","108","43.350999","-73.687041","USA"
"Boomerang Coast to Coaster","http://www.rcdb.com/./490.htm","Darien Lake","http://www.rcdb.com/./4581.htm","1998","Sit Down","116","935","3","47","108","42.929440","-78.384880","USA"
"Booster Bike","http://www.rcdb.com/./2747.htm","Toverland","http://www.rcdb.com/./4900.htm","2004","Sit Down","49","1968","0","46.6","68","51.396207","5.985221","Netherlands"
"Bushwhacker","http://www.rcdb.com/./1167.htm","Ratanga Junction","http://www.rcdb.com/./4956.htm","1998","Sit Down","42","1099","0","28.5","60","0","0","South Africa"
"Calamity Mine","http://www.rcdb.com/./924.htm","Walibi Belgium","http://www.rcdb.com/./4847.htm","1992","Sit Down","45","2575","0","30.1","140","50.699692","4.591384","Belgium"
"Cape Cobras","http://www.rcdb.com/./1165.htm","Ratanga Junction","http://www.rcdb.com/./4956.htm","1998","Inverted","109","2510","5","49.7","90","0","0","South Africa"
"Carolina Cobra","http://www.rcdb.com/./4269.htm","Carowinds","http://www.rcdb.com/./4542.htm","2009","Sit Down","116","935","3","47","108","35.102799","-80.941408",""
"Casey Jr., Le Petit Train du Cirque","http://www.rcdb.com/./1835.htm","Disneyland Paris - Disneyland Park","http://www.rcdb.com/./4864.htm","1994","Sit Down","0","0","0","0","120","0","0","France"
"Centrifuge","http://www.rcdb.com/./1585.htm","World Expo Park","http://www.rcdb.com/./5119.htm","1988","Suspended","0","0","0","0","0","-27.476473","153.018291",""
"Chaos","http://www.rcdb.com/./164.htm","Opryland USA","http://www.rcdb.com/./4562.htm","1989","Sit Down","0","2620","0","0","120","0","0","USA"
"Chaos","http://www.rcdb.com/./165.htm","Old Indiana Fun-n-Water Park","http://www.rcdb.com/./4617.htm","1998","Sit Down","0","2620","0","0","120","40.144489","-86.538917","USA"
"Coaster","http://www.rcdb.com/./931.htm","Plopsa Coo","http://www.rcdb.com/./4849.htm","1989","Sit Down","0","0","0","0","0","50.394143","5.872729","Belgium"
"Coaster","http://www.rcdb.com/./2179.htm","Wonderland","http://www.rcdb.com/./5362.htm","1996","Sit Down","27","679","0","21.7","44","0","0","United Arab Emirates"
"Cobra","http://www.rcdb.com/./1028.htm","Walibi Belgium","http://www.rcdb.com/./4847.htm","2001","Sit Down","116","935","3","47","108","50.699692","4.591384","Belgium"
"Cobra","http://www.rcdb.com/./1638.htm","West Midland Safari Park","http://www.rcdb.com/./4809.htm","1985","Sit Down","116","935","3","47","108","52.378448","-2.292924","UK"
"Cobra","http://www.rcdb.com/./2951.htm","PowerLand","http://www.rcdb.com/./5532.htm","2005","Sit Down","116","935","3","47","108","63.228692","22.858127",""
