"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Sea Viper","http://www.rcdb.com/./1137.htm","Sea World","http://www.rcdb.com/./4942.htm","1982","Sit Down","91","1968","3","43.5","95","-27.955304","153.425333","Australia"
"Serpent","http://www.rcdb.com/./135.htm","Six Flags AstroWorld","http://www.rcdb.com/./4537.htm","1969","Sit Down","0","810","0","14","89","29.675574","-95.407033","USA"
"Shockwave","http://www.rcdb.com/./4.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","1988","Sit Down","170","3900","7","65","140","42.367594","-87.934012","USA"
"Sidewinder","http://www.rcdb.com/./209.htm","Elitch Gardens","http://www.rcdb.com/./4574.htm","1995","Sit Down","56","635","1","45","66","39.749147","-105.012485","USA"
"Sidewinder","http://www.rcdb.com/./2101.htm","Elitch Gardens","http://www.rcdb.com/./5330.htm","1990","Sit Down","56","635","1","45","66","39.768612","-105.044976",""
"Space Salamander","http://www.rcdb.com/./1271.htm","Expoland","http://www.rcdb.com/./4960.htm","1980","Sit Down","75","1601","3","43.5","92","34.805253","135.535400","Japan"
"Spiral","http://www.rcdb.com/./1419.htm","Formosa WonderWorld","http://www.rcdb.com/./5046.htm","1990","Sit Down","70","1250","2","50","70","0","0","Taiwan"
"Steamin' Demon","http://www.rcdb.com/./264.htm","Great Escape & Splashwater Kingdom","http://www.rcdb.com/./4596.htm","1984","Sit Down","95","0","3","45","0","43.350999","-73.687041","USA"
"Steeplechase","http://www.rcdb.com/./795.htm","Pleasure Beach, Blackpool","http://www.rcdb.com/./4795.htm","1977","Sit Down","0","0","0","0","0","53.791091","-3.055106","UK"
"Tennessee Tornado","http://www.rcdb.com/./534.htm","Dollywood","http://www.rcdb.com/./4593.htm","1999","Sit Down","163","2682","3","63","108","35.792971","-83.534632","USA"
"Thunderation","http://www.rcdb.com/./220.htm","Silver Dollar City","http://www.rcdb.com/./4579.htm","1993","Sit Down","81","3022","0","48","130","36.669830","-93.340200","USA"
"Thunderbolt Express","http://www.rcdb.com/./314.htm","Camden Park","http://www.rcdb.com/./4607.htm","1988","Sit Down","56","635","1","45","66","38.397790","-82.530918","USA"
"Thunder Express","http://www.rcdb.com/./588.htm","Dollywood","http://www.rcdb.com/./4593.htm","1989","Sit Down","32","2349","0","37","180","35.792971","-83.534632","USA"
"Titan V","http://www.rcdb.com/./1194.htm","Space World","http://www.rcdb.com/./4962.htm","1994","Sit Down","166","5019","0","71.5","145","33.873150","130.811870","Japan"
"Trailblazer","http://www.rcdb.com/./107.htm","Hersheypark","http://www.rcdb.com/./4545.htm","1974","Sit Down","0","0","0","0","0","40.290427","-76.654229","USA"
"Vampire","http://www.rcdb.com/./784.htm","Chessington World of Adventures","http://www.rcdb.com/./4798.htm","1990","Suspended","0","2200","0","45","0","51.348492","-0.317344","UK"
"Viper","http://www.rcdb.com/./25.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","1990","Sit Down","188","3830","7","70","150","34.424243","-118.597906","USA"
"Viper","http://www.rcdb.com/./224.htm","Darien Lake","http://www.rcdb.com/./4581.htm","1982","Sit Down","121","3100","5","50","124","42.929440","-78.384880","USA"
"Vortex","http://www.rcdb.com/./65.htm","Canada's Wonderland","http://www.rcdb.com/./4539.htm","1991","Suspended","91","2361","0","55","96","43.840556","-79.541874","Canada"
"Vortex","http://www.rcdb.com/./71.htm","Kings Island","http://www.rcdb.com/./4540.htm","1987","Sit Down","148","3800","6","55","150","39.342080","-84.268460","USA"
"Vortex","http://www.rcdb.com/./317.htm","Calaway Park","http://www.rcdb.com/./4608.htm","1982","Sit Down","0","0","2","0","0","51.086212","-114.357634","Canada"
"Wabash Cannonball","http://www.rcdb.com/./168.htm","Opryland USA","http://www.rcdb.com/./4562.htm","1975","Sit Down","70","1200","2","50","0","0","0","USA"
"Wabash Cannonball","http://www.rcdb.com/./169.htm","Old Indiana Fun-n-Water Park","http://www.rcdb.com/./4617.htm","1998","Sit Down","70","1200","2","50","0","40.144489","-86.538917","USA"
"Wacky Soap Box Racers","http://www.rcdb.com/./1333.htm","Knott's Berry Farm","http://www.rcdb.com/./4546.htm","1976","Sit Down","27","1778","0","30","0","33.844124","-117.999913","USA"
"Wild Thing","http://www.rcdb.com/./447.htm","Wild Waves Theme Park","http://www.rcdb.com/./4690.htm","1997","Sit Down","0","0","3","0","60","47.275146","-122.311102","USA"
"X2","http://www.rcdb.com/./750.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","2002","4th Dimension","175","3610","2","76","0","34.424243","-118.597906","USA"
"XLR-8","http://www.rcdb.com/./134.htm","Six Flags AstroWorld","http://www.rcdb.com/./4537.htm","1984","Suspended","81","3000","0","34.1","180","29.675574","-95.407033","USA"
"Yagiyama Cyclone","http://www.rcdb.com/./1716.htm","Benyland","http://www.rcdb.com/./5182.htm","1988","Sit Down","56","1720","0","0","70","38.246935","140.848610","Japan"
"Zoomerang","http://www.rcdb.com/./331.htm","Boardwalk and Baseball","http://www.rcdb.com/./4713.htm","1977","Sit Down","56","635","1","45","66","28.228681","-81.643191",""
"<i>unknown</i>","http://www.rcdb.com/./3606.htm","DelGrosso's Amusement Park","http://www.rcdb.com/./4645.htm","2006","Sit Down","70","1565","3","55","80","40.630844","-78.292527","USA"
"<i>unknown</i>","http://www.rcdb.com/./4078.htm","Granite Park","http://www.rcdb.com/./6229.htm","2007","Sit Down","69","2400","0","0","0","36.790127","-119.751792","USA"
