"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Skull Mountain","http://www.rcdb.com/./35.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","1996","Sit Down","40","0","0","33","84","40.137005","-74.440956","USA"
"Skycar","http://www.rcdb.com/./3466.htm","Mysterious Island","http://www.rcdb.com/./5926.htm","2005","Launched","111","1476","1","56.5","85","22.067088","113.110449",""
"Sky Plaza Comet","http://www.rcdb.com/./1605.htm","Sky Plaza","http://www.rcdb.com/./5127.htm","1996","Sitdown","20","1148","4","0","0","0","0",""
"Skyrush ","http://www.rcdb.com/./10089.htm","Hersheypark","http://www.rcdb.com/./4545.htm","2012","Mega-lite / Mega / Giga","200","3600","0","75","0","40.290427","-76.654229","USA"
"Speed Monster","http://www.rcdb.com/./3245.htm","TusenFryd","http://www.rcdb.com/./4901.htm","2006","Launched","131","2263","3","55.9","69","59.748310","10.777652","Norway"
"Spiral Coaster","http://www.rcdb.com/./1604.htm","Al-Sha'ab Leisure Park","http://www.rcdb.com/./5126.htm","2000","Sitdown","20","1148","4","0","0","0","0","Kuwait"
"Stand Up","http://www.rcdb.com/./1816.htm","Skara Sommarland","http://www.rcdb.com/./5060.htm","1988","Stand Up","0","2575","1","48","0","58.407996","13.549554","Sweden"
"Stealth","http://www.rcdb.com/./3081.htm","Thorpe Park","http://www.rcdb.com/./4814.htm","2006","Launched","205","1312","0","80","0","51.403675","-0.515153","UK"
"Steel Venom","http://www.rcdb.com/./631.htm","Geauga Lake & Wildwater Kingdom","http://www.rcdb.com/./4586.htm","2000","Half-pipe / Impulse","180","704","0","70","0","41.351273","-81.377310","USA"
"Steel Venom","http://www.rcdb.com/./1920.htm","Valleyfair!","http://www.rcdb.com/./4552.htm","2003","Half-pipe / Impulse","185","630","0","68","0","44.799500","-93.456917","USA"
"Storm Runner","http://www.rcdb.com/./2498.htm","Hersheypark","http://www.rcdb.com/./4545.htm","2004","Launched","150","2600","3","75","50","40.290427","-76.654229","USA"
"Superman Escape","http://www.rcdb.com/./2999.htm","Warner Bros. Movie World","http://www.rcdb.com/./4934.htm","2005","Launched","131","0","0","62.1","0","-27.908014","153.311453","Australia"
"Superman: Escape from Krypton","http://www.rcdb.com/./140.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","1997","Launched","415","1235","0","100","28","34.424243","-118.597906","USA"
"Superman - Ride Of Steel","http://www.rcdb.com/./699.htm","Six Flags America","http://www.rcdb.com/./4558.htm","2000","Mega-lite / Mega / Giga","197","5350","0","73","130","38.908403","-76.774392","USA"
"Super Montaña Rusa Infantil","http://www.rcdb.com/./1595.htm","Parque de la Ciudad","http://www.rcdb.com/./5074.htm","1983","Sit Down","0","0","0","0","0","-34.671392","-58.451133","Argentina"
"Supersonic Odyssey","http://www.rcdb.com/./1607.htm","Cosmo's World","http://www.rcdb.com/./5129.htm","2003","Sit Down","124","2624","3","43.5","90","3.142150","101.710396",""
"Surfrider","http://www.rcdb.com/./3320.htm","Wet'n'Wild Water World","http://www.rcdb.com/./6117.htm","2007","Half-pipe / Impulse","0","0","0","0","0","-27.915051","153.317535","Australia"
"T Express","http://www.rcdb.com/./3938.htm","Everland","http://www.rcdb.com/./5017.htm","2008","Wooden","183","5383","0","64.6","0","0","0","South Korea"
"Thirteen","http://www.rcdb.com/./4463.htm","Alton Towers","http://www.rcdb.com/./4796.htm","2010","Sit Down","0","0","0","0","0","52.989203","-1.885014","UK"
"Thunder Dolphin","http://www.rcdb.com/./1845.htm","Tokyo Dome City","http://www.rcdb.com/./4982.htm","2003","Mega-lite / Mega / Giga","262","3500","0","80.8","90","35.705010","139.751694","Japan"
"Top Thrill Dragster","http://www.rcdb.com/./1896.htm","Cedar Point","http://www.rcdb.com/./4529.htm","2003","Launched","420","2800","0","120","30","41.481972","-82.684565","USA"
"Tornado","http://www.rcdb.com/./1076.htm","Särkänniemi Amusement Park","http://www.rcdb.com/./4919.htm","2001","Inverted","82","2296","5","46.6","94","61.505358","23.743526","Finland"
"Tornado","http://www.rcdb.com/./1101.htm","Parque de Atracciones de Madrid","http://www.rcdb.com/./4928.htm","1999","Inverted","98","2624","3","49.7","120","40.411062","-3.751702","Spain"
"Tornado","http://www.rcdb.com/./4313.htm","Bakken","http://www.rcdb.com/./4907.htm","2009","Sit Down","33","984","0","0","0","55.775734","12.574657","Denmark"
"Tower of Terror II","http://www.rcdb.com/./1127.htm","Dreamworld","http://www.rcdb.com/./4938.htm","1997","Sit Down","377","1235","0","100","28","-27.864086","153.314595","Australia"
"V2: Vertical Velocity","http://www.rcdb.com/./1143.htm","Six Flags Discovery Kingdom","http://www.rcdb.com/./4711.htm","2001","Half-pipe / Impulse","150","630","0","65","0","38.138523","-122.234273","USA"
"Vertical Velocity","http://www.rcdb.com/./747.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","2001","Half-pipe / Impulse","185","630","0","70","0","42.367594","-87.934012","USA"
"Vertigorama","http://www.rcdb.com/./1506.htm","Parque de la Ciudad","http://www.rcdb.com/./5074.htm","1983","Sit Down","124","5958","0","56.5","0","-34.671392","-58.451133","Argentina"
"Viper","http://www.rcdb.com/./2428.htm","Doocoland","http://www.rcdb.com/./5463.htm","1995","Sit Down","0","0","0","0","0","0","0",""
"Volcano, The Blast Coaster","http://www.rcdb.com/./474.htm","Kings Dominion","http://www.rcdb.com/./4544.htm","1998","Inverted","155","2757","4","70","0","37.838440","-77.443310","USA"
"Vurang","http://www.rcdb.com/./1151.htm","Hopi Hari","http://www.rcdb.com/./4947.htm","1999","Sit Down","0","0","0","0","0","-23.096942","-47.010972","Brazil"
"White Cyclone","http://www.rcdb.com/./1174.htm","Nagashima Spa Land","http://www.rcdb.com/./4958.htm","1995","Wooden","139","5577","0","63.4","158","35.029030","136.731656","Japan"
"Wicked Twister","http://www.rcdb.com/./1571.htm","Cedar Point","http://www.rcdb.com/./4529.htm","2002","Half-pipe / Impulse","215","0","0","72","0","41.481972","-82.684565","USA"
"Woodstock's Express","http://www.rcdb.com/./78.htm","California's Great America","http://www.rcdb.com/./4541.htm","1987","Sit Down","0","1300","0","0","132","37.395422","-121.972210","USA"
"Xcelerator","http://www.rcdb.com/./1574.htm","Knott's Berry Farm","http://www.rcdb.com/./4546.htm","2002","Launched","205","2202","0","82","62","33.844124","-117.999913","USA"
"Zaturn","http://www.rcdb.com/./3454.htm","Space World","http://www.rcdb.com/./4962.htm","2006","Launched","205","1313","0","80.3","0","33.873150","130.811870","Japan"
"Z-Force","http://www.rcdb.com/./126.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","1985","Sit Down","86","1900","0","35","90","42.367594","-87.934012","USA"
"Z-Force","http://www.rcdb.com/./127.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","1988","Sit Down","86","1900","0","35","90","33.768915","-84.549977","USA"
"<i>unknown</i>","http://www.rcdb.com/./1930.htm","Al-Rawdah Sharaco Amusement Park","http://www.rcdb.com/./5261.htm","1988","Sit Down","0","0","0","0","0","0","0","Saudi Arabia"
"<i>unknown</i>","http://www.rcdb.com/./3472.htm","Darien Lake","http://www.rcdb.com/./4581.htm","2006","Stand Up","90","2300","1","0","0","42.929440","-78.384880","USA"
"<i>unknown</i>","http://www.rcdb.com/./4078.htm","Granite Park","http://www.rcdb.com/./6229.htm","2007","Sit Down","69","2400","0","0","0","36.790127","-119.751792","USA"
"<i>unknown</i>","http://www.rcdb.com/./10237.htm","Hopi Hari","http://www.rcdb.com/./4947.htm","2012","Sit Down","108","2870","10","52.8","0","-23.096942","-47.010972","Brazil"
