aapl
abt
ace
agn
aiv
akam
aks
alti
aon
apd
ati
dis
ea
ebay
f
fosl
ge
goog
gs
hog
intc
jpm
k
ma
mcd
mchp
mo
msft
ndaq
nvda
nyx
sbux
syy
tso
yhoo
su.pa
jxr.pa
^fchi
^ftse
^gspc
