"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Superman Krypton Coaster","http://www.rcdb.com/./605.htm","Six Flags Fiesta Texas","http://www.rcdb.com/./4538.htm","2000","Floorless","168","4025","6","70","155","29.597554","-98.610835","USA"
"Superman / la Atracción de Acero","http://www.rcdb.com/./1366.htm","Parque Warner Madrid","http://www.rcdb.com/./5028.htm","2002","Floorless","164","3608","7","62.1","146","40.230000","-3.593060","Spain"
"Superman - Ultimate Flight","http://www.rcdb.com/./1568.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","2002","Flying","106","2759","2","51","120","33.768915","-84.549977","USA"
"Superman - Ultimate Flight","http://www.rcdb.com/./1976.htm","Six Flags Great Adventure","http://www.rcdb.com/./4534.htm","2003","Flying","106","2759","2","51","126","40.137005","-74.440956","USA"
"Superman - Ultimate Flight","http://www.rcdb.com/./1977.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","2003","Flying","106","2798","2","51","180","42.367594","-87.934012","USA"
"Swarm","http://www.rcdb.com/./9820.htm","Thorpe Park","http://www.rcdb.com/./4814.htm","2012","Wing rider","127","0","5","0","0","51.403675","-0.515153","UK"
"Talon","http://www.rcdb.com/./735.htm","Dorney Park & Wildwater Kingdom","http://www.rcdb.com/./4588.htm","2001","Inverted","135","3110","4","58","0","40.579151","-75.531328","USA"
"Tatsu","http://www.rcdb.com/./3305.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","2006","Flying","170","3602","4","62","0","34.424243","-118.597906","USA"
"Time Machine","http://www.rcdb.com/./3852.htm","Freestyle Music Park","http://www.rcdb.com/./6023.htm","2008","Sit Down","150","3738","6","65","0","33.715487","-78.929837",""
"Vampire","http://www.rcdb.com/./1567.htm","La Ronde","http://www.rcdb.com/./4567.htm","2002","Inverted","105","2700","5","50","0","45.523932","-73.535067","Canada"
"Vortex","http://www.rcdb.com/./79.htm","California's Great America","http://www.rcdb.com/./4541.htm","1991","Stand Up","91","1920","2","40","134","37.395422","-121.972210","USA"
"Vortex","http://www.rcdb.com/./86.htm","Carowinds","http://www.rcdb.com/./4542.htm","1992","Stand Up","90","2040","2","50","139","35.102799","-80.941408",""
"Wild Eagle","http://www.rcdb.com/./10148.htm","Dollywood","http://www.rcdb.com/./4593.htm","2012","Wing rider","210","3127","4","61","142","35.792971","-83.534632","USA"
"Wildfire","http://www.rcdb.com/./720.htm","Silver Dollar City","http://www.rcdb.com/./4579.htm","2001","Sit Down","120","3073","5","66","136","36.669830","-93.340200","USA"
"X-Flight","http://www.rcdb.com/./10137.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","2012","Wing rider","0","3000","5","55","0","42.367594","-87.934012","USA"
